block_size,tokens_per_step,problem_idx,tier,n_tokens,stop,repeat4,boxed,correct,progress,redundancy,coverage
32,4,8,easy,768,budget,0.0714285714285714,0,0,nan,nan,nan
32,4,9,easy,256,eos,0.03960396039603964,0,0,0.48571428571428577,0.15479746730616456,0.492739367731022
32,4,10,easy,160,box,0.09322033898305082,1,0,-0.3714285714285715,0.20944179478915098,0.4539347953016775
32,4,11,easy,192,box,0.03448275862068961,1,1,0.4285714285714286,0.18273921494112674,0.24525977176188485
32,4,12,easy,768,budget,0.4022988505747126,0,0,-0.4285714285714286,0.29659539873695273,0.2998994008800695
32,4,13,easy,192,eos,0.01041666666666663,0,0,-0.08571428571428573,0.1647554044863053,0.27207506535347054
32,4,14,easy,160,box,0.03409090909090906,1,0,0.2571428571428572,0.11220189033871067,0.49643202857304264
32,4,15,easy,768,budget,0.8748221906116643,0,0,-0.057977103565244846,0.9541548050323886,0.3526170457935156
32,4,16,easy,256,box,0.022058823529411797,1,1,0.2571428571428572,0.10389156613456427,0.5253140575745789
32,4,17,easy,192,box,0.17045454545454541,1,0,0.2,0.17756516499932615,0.5179225892686233
32,4,18,easy,768,budget,0.6502242152466368,0,0,-0.9411239481143202,0.018843226747363367,0.48023962768625644
32,4,19,easy,352,box,0.07281553398058249,1,0,0.14285714285714288,0.17003889651561746,0.4493740733787521
32,4,20,medium,768,budget,0.4620689655172414,0,0,-0.9276336570439175,0.12129971278953655,0.37990400880489433
32,4,21,medium,768,budget,0.4989648033126294,0,0,-0.9276336570439175,0.2713541582013257,0.13903387983235205
32,4,22,medium,448,collapse,0.9016786570743405,0,0,-0.6546536707079772,0.9806091061692361,0.046048669530969845
32,4,23,medium,416,eos,0.06341463414634141,0,0,-0.08571428571428573,0.15134197806211638,0.328053297006927
32,4,24,medium,768,budget,0.34504792332268375,0,0,-0.48571428571428577,0.3958517213373349,0.21266506093276902
32,4,25,medium,768,budget,0.3448275862068966,0,0,-0.3142857142857143,0.24604499410296288,0.36534025326452574
32,4,26,medium,768,budget,0.5604395604395604,0,0,-0.8804062740424288,0.062406936105715724,0.3608959129434816
32,4,27,medium,768,budget,0.10869565217391308,0,0,0.14285714285714288,0.1972045605671041,0.3745106087090707
32,4,28,medium,640,box,0.02508960573476704,1,0,-0.3714285714285715,0.1993343241241243,0.42656403036530316
32,4,29,medium,768,budget,0.32198142414860687,0,0,-0.9856107606091623,0.4988150450961498,0.27081451616839713
32,4,30,hard,768,budget,0.5567010309278351,0,0,-0.6,0.49066465964582506,0.3380447356070283
32,4,31,hard,768,budget,0.10763888888888884,0,0,-0.14285714285714288,0.20812530104050259,0.5803493750441611
32,4,32,hard,768,budget,0.09090909090909094,0,0,-0.3714285714285715,0.15109084202382367,0.2848096453633988
32,4,33,hard,352,collapse,0.9064327485380117,0,0,0.0,0.9823071446795473,0.05407344087276887
32,4,34,hard,416,eos,0.31304347826086953,0,0,-0.4285714285714286,0.26229701701142255,0.5097526438241899
32,4,35,hard,768,budget,0.0,0,0,nan,nan,nan
32,4,36,hard,768,budget,0.05641025641025643,0,0,-0.48571428571428577,0.29956086990887937,0.2922444942002346
32,4,37,hard,768,budget,0.7908256880733945,0,0,-0.48571428571428577,0.9319382768169705,0.43551090730789666
32,4,38,hard,768,budget,0.3207547169811321,0,0,-0.3714285714285715,0.4148616168513918,0.16038797433401605
32,4,39,hard,768,budget,0.5728155339805825,0,0,-0.2,0.5717078966651991,0.4111934422010599
32,8,0,easy,768,budget,0.027027027027026973,0,0,-0.14285714285714288,0.09946199597588702,0.4127035947832116
32,8,1,easy,768,budget,0.0,0,0,-0.7142857142857143,0.0785076499566024,0.408433890988481
32,8,2,easy,768,budget,0.05084745762711862,0,0,-0.7714285714285715,0.14247544321933991,0.43902772346623303
